"Census Tracts in New York, NY",Tract_fips,County_name,County_fips,State_name,State_fips,"Geographic Years Available","% Population, Citizenship - Foreign Born - Not a Citizen, 2016","% Population, Citizenship - Foreign Born - Naturalized, 2016","% Population, Citizenship - Native, 2016","% Employment, Unemployed, 2016","Family Income Total ($), 2016","# Population Not in Poverty, Total, 2016","# Population, Female, Not in Poverty, Total, 2016","% Population, Female, Not in Poverty, Total, 2016","# Population, Male, Not in Poverty, Total, 2016","% Population, Male, Not in Poverty, Total, 2016","% Population Not in Poverty, Total, 2016","# Population, Female, in Poverty, Total, 2016","% Population, Female, in Poverty, Total, 2016","# Population, Male, in Poverty, Total, 2016","% Population, Male, in Poverty, Total, 2016","# Population Poverty Universe, 2016","# Population, Female, Poverty Universe, 2016","# Population, Male, Poverty Universe, 2016","# Population, Not Hispanic, 2016","% Population, Not Hispanic, 2016"
"CT039000, Bronx County, NY","36005039000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.9180,21.4172,64.6648,7.1895,54571684,2399,1302,41.3727,1097,34.8586,76.2313,410,13.0283,338,10.7404,3147,1435,1712,2365,75.1509
"CT039100, Bronx County, NY","36005039100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.5619,12.4983,62.9398,7.2415,66135450,4273,2093,28.4336,2180,29.6155,58.0492,1627,22.1030,1461,19.8478,7361,3641,3720,2039,27.7000
"CT039200, Bronx County, NY","36005039200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.4043,25.4255,56.1702,7.1823,23817875,1273,761,40.4787,512,27.2340,67.7128,259,13.7766,348,18.5106,1880,860,1020,1332,70.8511
"CT039300, Bronx County, NY","36005039300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.3180,10.4969,70.1850,7.1247,54109400,3764,1909,22.2158,1855,21.5873,43.8031,2804,32.6312,2025,23.5657,8593,3880,4713,3231,37.6004
"CT039400, Bronx County, NY","36005039400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.8228,21.7762,59.4010,7.1642,81731975,3793,2055,42.7413,1738,36.1481,78.8894,525,10.9193,490,10.1913,4808,2228,2580,3152,65.5574
"CT039500, Bronx County, NY","36005039500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.8258,14.4947,72.6795,7.2368,62620674,3170,1662,37.9973,1508,34.4765,72.4737,678,15.5007,526,12.0256,4374,2034,2340,1488,34.0192
"CT039600, Bronx County, NY","36005039600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.4072,18.5018,71.0910,7.2089,68603500,2673,1383,34.7662,1290,32.4284,67.1946,842,21.1664,463,11.6390,3978,1753,2225,3149,79.1604
"CT039700, Bronx County, NY","36005039700 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",11.0623,7.2468,81.6909,7.1119,13228486,3193,1669,45.8139,1524,41.8337,87.6475,237,6.5056,213,5.8468,3643,1737,1906,2561,70.2992
"CT039800, Bronx County, NY","36005039800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.1262,34.5860,46.2878,7.2381,71253685,2986,1607,49.0987,1379,42.1326,91.2313,176,5.3773,111,3.3914,3273,1490,1783,2922,89.2759
"CT039901, Bronx County, NY","36005039901 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",36.6429,17.6266,45.7305,7.2130,44029661,3114,1656,30.2798,1458,26.6594,56.9391,1126,20.5888,1229,22.4721,5469,2687,2782,1826,33.3882
"CT039902, Bronx County, NY","36005039902 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",33.0641,11.5778,55.3581,7.2503,41509150,2896,1482,26.6020,1414,25.3814,51.9835,1418,25.4532,1257,22.5633,5571,2671,2900,1582,28.3971
"CT040100, Bronx County, NY","36005040100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.9856,17.8802,49.1342,7.2503,58595072,3091,1546,32.2554,1545,32.2345,64.4899,949,19.7997,753,15.7104,4793,2298,2495,1160,24.2020
"CT040302, Bronx County, NY","36005040302 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",27.2035,14.1240,58.6725,7.2105,49509859,2484,1306,28.4222,1178,25.6366,54.0588,1115,24.2655,996,21.6757,4595,2174,2421,901,19.6083
"CT040303, Bronx County, NY","36005040303 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.1826,15.8386,59.9788,7.1770,51926616,2986,1472,31.2527,1514,32.1444,63.3970,1066,22.6327,658,13.9703,4710,2172,2538,968,20.5520
"CT040304, Bronx County, NY","36005040304 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",31.8170,20.0553,48.1277,7.2160,52654100,3031,1566,39.3566,1465,36.8183,76.1749,528,13.2697,420,10.5554,3979,1885,2094,1011,25.4084
"CT040400, Bronx County, NY","36005040400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.6992,26.0475,55.2533,7.1484,60808908,2331,1217,38.0550,1114,34.8343,72.8893,528,16.5103,339,10.6004,3198,1453,1745,2688,84.0525
"CT040501, Bronx County, NY","36005040501 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",32.6998,16.5227,50.7775,7.2036,51018932,3136,1407,30.3888,1729,37.3434,67.7322,993,21.4471,501,10.8207,4630,2230,2400,1289,27.8402
"CT040502, Bronx County, NY","36005040502 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.4561,12.6219,69.9220,7.1131,63439289,3536,1775,24.7283,1761,24.5333,49.2616,1971,27.4589,1671,23.2795,7178,3432,3746,2344,32.6553
"CT040600, Bronx County, NY","36005040600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.2786,24.1547,65.5667,7.1336,57584041,2803,1441,38.9775,1362,36.8407,75.8182,530,14.3359,364,9.8458,3697,1726,1971,3028,81.9042
"CT040701, Bronx County, NY","36005040701 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.4614,14.5423,58.9963,7.1603,42972890,2460,1298,37.0117,1162,33.1337,70.1454,533,15.1982,514,14.6564,3507,1676,1831,832,23.7240
"CT040702, Bronx County, NY","36005040702 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.0689,16.9607,60.9704,7.2096,88651716,5718,3026,43.0563,2692,38.3039,81.3603,608,8.6511,702,9.9886,7028,3394,3634,2145,30.5208
"CT040800, Bronx County, NY","36005040800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",30.7915,24.5039,44.7046,7.2008,58388150,3093,1654,36.8785,1439,32.0847,68.9632,785,17.5028,607,13.5340,4485,2046,2439,2674,59.6210
"CT040900, Bronx County, NY","36005040900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.8593,29.7431,56.3976,7.1751,80416006,3571,1948,50.5580,1623,42.1230,92.6810,181,4.6976,101,2.6213,3853,1724,2129,3273,84.9468
"CT041100, Bronx County, NY","36005041100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.4291,18.9111,63.6598,7.1764,60448089,2310,1144,36.8557,1166,37.5644,74.4201,474,15.2706,320,10.3093,3104,1486,1618,1121,36.1147
"CT041300, Bronx County, NY","36005041300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",14.3517,17.3171,68.3312,7.1761,101605200,5657,2903,37.2657,2754,35.3530,72.6187,1151,14.7754,982,12.6059,7790,3736,4054,2660,34.1463
"CT041400, Bronx County, NY","36005041400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.1095,27.8689,55.0217,7.1821,129790266,4658,2522,47.5221,2136,40.2487,87.7709,335,6.3124,314,5.9167,5307,2450,2857,4135,77.9160
"CT041500, Bronx County, NY","36005041500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",16.6869,19.8505,63.4625,7.1590,88535893,4085,2086,36.2593,1999,34.7471,71.0064,926,16.0959,742,12.8976,5753,2741,3012,2115,36.7634
"CT041800, Bronx County, NY","36005041800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.7507,26.5879,48.6614,7.1746,64509696,2953,1596,41.8898,1357,35.6168,77.5066,502,13.1759,355,9.3176,3810,1712,2098,2691,70.6299
"CT041900, Bronx County, NY","36005041900 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.6093,14.3986,58.9921,7.1889,130650200,5126,2723,38.4387,2403,33.9215,72.3602,1055,14.8927,903,12.7470,7084,3306,3778,2838,40.0621
"CT042000, Bronx County, NY","36005042000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.7093,24.4149,55.8758,7.1344,65003797,3160,1688,41.5866,1472,36.2651,77.8517,530,13.0574,369,9.0909,4059,1841,2218,2580,63.5625
"CT042100, Bronx County, NY","36005042100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.3065,13.5874,60.1061,7.1886,92417735,4874,2413,38.8005,2461,39.5723,78.3727,951,15.2918,394,6.3354,6219,2855,3364,2466,39.6527
"CT042200, Bronx County, NY","36005042200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",19.7974,24.3094,55.8932,7.2188,70853894,2725,1465,44.9662,1260,38.6740,83.6403,354,10.8656,179,5.4942,3258,1439,1819,2628,80.6630
"CT042300, Bronx County, NY","36005042300 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.5388,18.4851,58.9761,7.1926,65220986,3172,1669,38.6611,1503,34.8158,73.4770,535,12.3929,610,14.1302,4317,2113,2204,1720,39.8425
"CT042400, Bronx County, NY","36005042400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.0957,23.6266,59.2778,7.1233,42372747,2429,1337,51.3638,1092,41.9516,93.3154,64,2.4587,110,4.2259,2603,1202,1401,2140,82.2128
"CT042500, Bronx County, NY","36005042500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",26.4312,18.9751,54.5937,7.1677,85014630,5188,2395,33.4404,2793,38.9975,72.4379,1251,17.4672,723,10.0949,7162,3516,3646,2568,35.8559
"CT042600, Bronx County, NY","36005042600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.2738,32.7083,49.0179,7.2309,166882327,5743,3123,46.4732,2620,38.9881,85.4613,608,9.0476,369,5.4911,6720,2989,3731,5967,88.7946
"CT042800, Bronx County, NY","36005042800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",9.4225,36.6479,53.9297,7.1616,65347518,2049,1138,49.4138,911,39.5571,88.9709,116,5.0369,138,5.9922,2303,1049,1254,2037,88.4498
"CT042901, Bronx County, NY","36005042901 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",22.9636,12.7328,64.3036,7.1174,35518663,2490,1126,31.3039,1364,37.9205,69.2244,714,19.8499,393,10.9258,3597,1757,1840,1336,37.1421
"CT042902, Bronx County, NY","36005042902 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.2126,14.5117,73.2756,7.2275,48875950,2842,1329,32.8554,1513,37.4042,70.2596,749,18.5167,454,11.2237,4045,1967,2078,1606,39.7033
"CT043000, Bronx County, NY","36005043000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",14.9006,39.6153,45.4842,7.2086,61143438,2558,1399,45.6146,1159,37.7894,83.4040,282,9.1947,227,7.4014,3067,1386,1681,2528,82.4258
"CT043100, Bronx County, NY","36005043100 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.2856,19.5915,56.1230,7.1697,113683600,6632,3345,32.8489,3287,32.2793,65.1282,2014,19.7781,1537,15.0938,10183,4824,5359,4272,41.9523
"CT043400, Bronx County, NY","36005043400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",20.0371,27.3787,52.5842,7.1466,65048586,2970,1487,39.4116,1483,39.3056,78.7172,519,13.7556,284,7.5272,3773,1767,2006,2980,78.9822
"CT043500, Bronx County, NY","36005043500 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",0.0000,0.0000,100.0000,0,668881,39,21,53.8462,18,46.1538,100.0000,0,0.0000,0,0.0000,39,18,21,13,33.3333
"CT043600, Bronx County, NY","36005043600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",16.8753,24.2466,58.8781,7.2103,39730165,1804,997,46.2216,807,37.4131,83.6347,161,7.4641,192,8.9013,2157,999,1158,1797,83.3102
"CT044200, Bronx County, NY","36005044200 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",17.7914,22.0592,60.1494,7.2973,81942575,2680,1402,37.3966,1278,34.0891,71.4857,648,17.2846,421,11.2297,3749,1699,2050,2894,77.1939
"CT044400, Bronx County, NY","36005044400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.3782,33.3333,54.2885,7.2180,98859395,3465,1857,45.2485,1608,39.1813,84.4298,352,8.5770,287,6.9932,4104,1895,2209,3413,83.1628
"CT044800, Bronx County, NY","36005044800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.7401,26.5021,59.7578,7.2289,67334995,2039,1092,50.8617,947,44.1081,94.9697,52,2.4220,56,2.6083,2147,1003,1144,1873,87.2380
"CT044901, Bronx County, NY","36005044901 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",8.3465,14.2102,77.4432,7.2100,46317700,1770,890,47.0153,880,46.4871,93.5024,99,5.2298,24,1.2678,1893,904,989,1705,90.0687
"CT044902, Bronx County, NY","36005044902 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",18.4751,18.6217,62.9032,7.1856,52679093,1793,953,46.5787,840,41.0557,87.6344,91,4.4477,162,7.9179,2046,1002,1044,1785,87.2434
"CT045101, Bronx County, NY","36005045101 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",5.9192,14.1719,79.9089,7.2829,39178654,1602,878,49.9715,724,41.2066,91.1781,56,3.1873,99,5.6346,1757,823,934,1563,88.9585
"CT045102, Bronx County, NY","36005045102 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.7393,10.5894,78.6713,7.1685,51996149,1925,1008,50.3497,917,45.8042,96.1538,46,2.2977,31,1.5485,2002,948,1054,1767,88.2617
"CT045600, Bronx County, NY","36005045600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",24.8604,20.0000,55.1396,7.2442,73137737,2359,1338,43.9409,1021,33.5304,77.4713,288,9.4581,398,13.0706,3045,1419,1626,2424,79.6059
"CT045800, Bronx County, NY","36005045800 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",4.5925,14.5663,80.8412,7.2072,58827571,3884,2223,34.3745,1661,25.6842,60.0588,1622,25.0812,961,14.8601,6467,2622,3845,2826,43.6988
"CT046000, Bronx County, NY","36005046000 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",10.4623,17.3792,72.1585,7.1730,43578493,2116,1173,40.7716,943,32.7772,73.5488,413,14.3552,348,12.0959,2877,1291,1586,2181,75.8081
"CT046201, Bronx County, NY","36005046201 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",6.8080,15.8973,77.2947,7.1945,671017630,25094,14651,52.3867,10443,37.3404,89.7272,1730,6.1859,1143,4.0870,27967,11586,16381,19760,70.6547
"CT046202, Bronx County, NY","36005046202 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",12.9563,18.1017,68.9419,7.1851,159229396,6511,3495,40.5030,3016,34.9519,75.4549,1230,14.2543,888,10.2909,8629,3904,4725,6070,70.3442
"CT048400, Bronx County, NY","36005048400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",13.4086,30.8318,55.7596,7.1505,98120583,3445,1733,45.4736,1712,44.9226,90.3962,344,9.0265,22,0.5773,3811,1734,2077,3156,82.8129
"CT050400, Bronx County, NY","36005050400 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",0.0000,0.0000,100.0000,4.5455,766734,41,27,65.8537,14,34.1463,100.0000,0,0.0000,0,0.0000,41,14,27,15,36.5854
"CT051600, Bronx County, NY","36005051600 ","Bronx County, NY","36005 ","New York","36 ","2010, 2014",5.9311,7.8064,86.2625,7.1397,138106455,4247,2159,47.0781,2088,45.5299,92.6079,217,4.7318,122,2.6603,4586,2210,2376,3756,81.9014
"CT000100, Kings County, NY","36047000100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.2474,14.6705,75.0821,5.5188,172403972,3739,2067,45.2595,1672,36.6105,81.8699,345,7.5542,483,10.5759,4567,2155,2412,4209,92.1612
"CT000200, Kings County, NY","36047000200 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",22.3582,7.7964,69.8454,5.5723,16688200,981,445,28.6727,536,34.5361,63.2088,303,19.5232,268,17.2680,1552,804,748,206,13.2732
"CT000301, Kings County, NY","36047000301 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",6.2709,9.1944,84.5347,5.5681,376156591,3968,2030,45.3024,1938,43.2493,88.5517,247,5.5122,266,5.9362,4481,2204,2277,4227,94.3316
"CT000501, Kings County, NY","36047000501 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",12.5113,9.1176,78.3710,5.5013,255663240,4035,2164,48.9593,1871,42.3303,91.2896,233,5.2715,152,3.4389,4420,2023,2397,4100,92.7602
"CT000502, Kings County, NY","36047000502 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",6.8122,7.1886,85.9992,5.5483,73711233,2511,1344,50.5834,1167,43.9217,94.5051,61,2.2958,85,3.1991,2657,1252,1405,2488,93.6394
"CT000700, Kings County, NY","36047000700 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.8208,7.5547,81.6245,5.5580,255378821,3408,1734,49.2474,1674,47.5433,96.7907,53,1.5053,60,1.7041,3521,1734,1787,3229,91.7069
"CT000900, Kings County, NY","36047000900 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.9122,10.2605,80.8272,5.5322,242258620,3984,2090,47.7605,1894,43.2815,91.0420,127,2.9022,265,6.0558,4376,2159,2217,4040,92.3218
"CT001100, Kings County, NY","36047001100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",4.5455,10.2273,85.2273,4.6875,11003735,83,33,37.5000,50,56.8182,94.3182,3,3.4091,2,2.2727,88,52,36,59,67.0455
"CT001300, Kings County, NY","36047001300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.9754,13.8865,77.1380,5.4639,48343512,1552,769,32.5572,783,33.1499,65.7070,286,12.1084,524,22.1846,2362,1307,1055,2048,86.7062
"CT001500, Kings County, NY","36047001500 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",16.9181,14.4397,68.6422,5.5609,95495134,2700,1435,38.6584,1265,34.0787,72.7371,574,15.4634,438,11.7996,3712,1703,2009,2865,77.1821
"CT001800, Kings County, NY","36047001800 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",31.9538,13.6670,54.3792,0,370500,2078,120,5.7748,1958,94.2252,100.0000,0,0.0000,0,0.0000,2078,1958,120,901,43.3590
"CT002000, Kings County, NY","36047002000 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",30.5524,21.1950,48.2525,5.5936,28265995,1370,554,31.2289,816,45.9977,77.2266,272,15.3326,132,7.4408,1774,948,826,215,12.1195
"CT002100, Kings County, NY","36047002100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",9.6639,6.5651,83.7710,5.5513,276851559,3608,1717,45.0893,1891,49.6586,94.7479,55,1.4443,145,3.8078,3808,2036,1772,3480,91.3866
"CT002200, Kings County, NY","36047002200 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",25.3287,25.8833,48.7880,5.5579,67027832,3796,1783,36.6270,2013,41.3517,77.9786,636,13.0649,436,8.9565,4868,2449,2419,1714,35.2095
"CT002300, Kings County, NY","36047002300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",2.2640,11.2520,86.4840,5.6396,48815957,2530,1486,33.6427,1044,23.6360,57.2787,1026,23.2284,861,19.4929,4417,1905,2512,3132,70.9079
"CT002901, Kings County, NY","36047002901 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",6.5243,5.5160,87.9597,5.5172,18674255,1129,524,15.5397,605,17.9419,33.4816,1417,42.0225,826,24.4958,3372,1431,1941,2368,70.2254
"CT003000, Kings County, NY","36047003000 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.2198,21.2637,68.5165,5.5843,62728431,1675,828,45.4945,847,46.5385,92.0330,89,4.8901,56,3.0769,1820,903,917,1514,83.1868
"CT003100, Kings County, NY","36047003100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.3777,14.2346,75.3877,5.5890,49386709,2465,1470,58.4493,995,39.5626,98.0119,18,0.7157,32,1.2724,2515,1027,1488,2241,89.1054
"CT003300, Kings County, NY","36047003300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",16.7073,8.5366,74.7561,5.5817,76806323,1939,1011,41.0976,928,37.7236,78.8211,247,10.0407,274,11.1382,2460,1202,1258,2096,85.2033
"CT003400, Kings County, NY","36047003400 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",12.3952,17.6763,69.9285,5.5229,112905748,2735,1445,44.8897,1290,40.0746,84.9643,234,7.2693,250,7.7664,3219,1540,1679,2781,86.3933
"CT003500, Kings County, NY","36047003500 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.0783,26.3158,65.6059,5.4810,42438063,1564,844,51.6524,720,44.0636,95.7160,24,1.4688,46,2.8152,1634,766,868,1465,89.6573
"CT003600, Kings County, NY","36047003600 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",9.4716,22.0837,68.4447,5.5418,131920828,3535,1883,46.9342,1652,41.1765,88.1107,237,5.9073,240,5.9821,4012,1892,2120,3449,85.9671
"CT003700, Kings County, NY","36047003700 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.1485,16.5842,73.2673,5.7034,6602567,333,147,36.3861,186,46.0396,82.4257,46,11.3861,25,6.1881,404,211,193,349,86.3861
"CT003800, Kings County, NY","36047003800 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",7.1608,18.0905,74.7487,5.5886,61020165,1396,704,44.2211,692,43.4673,87.6884,107,6.7211,89,5.5905,1592,781,811,1470,92.3367
"CT003900, Kings County, NY","36047003900 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",13.3967,8.5998,78.0035,5.5182,76956339,1803,1019,44.0363,784,33.8807,77.9170,326,14.0882,185,7.9948,2314,969,1345,1893,81.8064
"CT004100, Kings County, NY","36047004100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.9485,5.7886,85.2629,5.5331,142470431,3326,1822,48.3802,1504,39.9363,88.3165,186,4.9389,254,6.7446,3766,1758,2008,3303,87.7058
"CT004300, Kings County, NY","36047004300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.2678,11.5373,80.1949,5.5162,120091591,2974,1428,44.8915,1546,48.6011,93.4926,109,3.4266,98,3.0808,3181,1644,1537,2620,82.3640
"CT004400, Kings County, NY","36047004400 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",2.8629,17.0968,80.0403,5.6152,137198437,2347,1160,46.7742,1187,47.8629,94.6371,79,3.1855,54,2.1774,2480,1241,1239,2371,95.6048
"CT004500, Kings County, NY","36047004500 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",4.8899,11.1238,83.9863,5.5256,234543330,3432,1778,50.8436,1654,47.2977,98.1413,21,0.6005,44,1.2582,3497,1698,1799,3271,93.5373
"CT004600, Kings County, NY","36047004600 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",3.2993,17.2035,79.4973,5.5652,76793795,1071,552,43.3621,519,40.7698,84.1320,99,7.7769,103,8.0911,1273,622,651,1169,91.8303
"CT004700, Kings County, NY","36047004700 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",7.4316,5.4107,87.1578,5.5439,51591194,1413,684,44.5893,729,47.5228,92.1121,89,5.8018,32,2.0860,1534,761,773,1158,75.4889
"CT004900, Kings County, NY","36047004900 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.3488,8.3557,81.2955,5.5060,120243690,2480,1333,51.0924,1147,43.9632,95.0556,94,3.6029,35,1.3415,2609,1182,1427,2284,87.5431
"CT005000, Kings County, NY","36047005000 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",6.8493,18.1403,75.0104,5.5556,88791895,2306,1232,51.1416,1074,44.5828,95.7244,43,1.7850,60,2.4907,2409,1134,1275,2202,91.4072
"CT005100, Kings County, NY","36047005100 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",10.7347,6.7312,82.5341,5.5767,93418601,2130,1109,48.7901,1021,44.9186,93.7088,50,2.1997,93,4.0915,2273,1114,1159,1797,79.0585
"CT005201, Kings County, NY","36047005201 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",3.8522,32.7434,63.4045,5.4815,30801500,1299,769,40.0312,530,27.5898,67.6210,413,21.4992,209,10.8798,1921,739,1182,1806,94.0135
"CT005202, Kings County, NY","36047005202 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",2.0603,11.3697,86.5700,5.5930,80502367,2516,1382,52.7280,1134,43.2659,95.9939,51,1.9458,54,2.0603,2621,1188,1433,2436,92.9416
"CT005300, Kings County, NY","36047005300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",12.3281,6.0112,81.6607,5.5640,52529748,1680,774,39.4294,906,46.1538,85.5833,179,9.1187,104,5.2980,1963,1010,953,1356,69.0779
"CT005400, Kings County, NY","36047005400 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",11.5036,24.2150,64.2814,5.4705,81122786,2883,1564,47.2222,1319,39.8249,87.0471,178,5.3744,251,7.5785,3312,1570,1742,2917,88.0737
"CT005601, Kings County, NY","36047005601 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",8.2073,11.6490,80.1437,5.5341,70874405,2430,1359,51.3994,1071,40.5068,91.9062,133,5.0303,81,3.0635,2644,1152,1492,2388,90.3177
"CT005602, Kings County, NY","36047005602 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",5.6447,17.7065,76.6488,5.5952,36487860,1580,836,49.6732,744,44.2068,93.8800,54,3.2086,49,2.9115,1683,793,890,1556,92.4540
"CT005800, Kings County, NY","36047005800 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",9.4061,27.4646,63.1293,5.5085,85781032,2756,1415,42.6590,1341,40.4281,83.0871,249,7.5068,312,9.4061,3317,1653,1664,2878,86.7651
"CT005900, Kings County, NY","36047005900 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",18.3940,7.6184,73.9876,5.5180,26573680,1051,493,33.8367,558,38.2979,72.1345,245,16.8154,161,11.0501,1457,719,738,989,67.8792
"CT006000, Kings County, NY","36047006000 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",15.3769,20.6931,63.9300,5.5477,90919230,2514,1340,45.0875,1174,39.5020,84.5895,98,3.2974,360,12.1131,2972,1534,1438,2324,78.1965
"CT006200, Kings County, NY","36047006200 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",14.8936,18.9827,66.1237,5.4907,65736133,2529,1188,39.4947,1341,44.5811,84.0758,305,10.1396,174,5.7846,3008,1515,1493,2547,84.6742
"CT006300, Kings County, NY","36047006300 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",12.6072,9.1780,78.2148,5.5777,53470009,1803,959,48.3611,844,42.5618,90.9228,79,3.9839,101,5.0933,1983,945,1038,1789,90.2168
"CT006400, Kings County, NY","36047006400 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",14.4884,24.0382,61.4734,5.5859,87174369,3215,1556,42.4557,1659,45.2660,87.7217,341,9.3042,109,2.9741,3665,1768,1897,3083,84.1201
"CT006500, Kings County, NY","36047006500 ","Kings County, NY","36047 ","New York","36 ","2010, 2014",5.6614,8.6401,85.6984,5.5290,196465211,4880,2598,48.0666,2282,42.2202,90.2868,255,4.7179,270,4.9954,5405,2552,2853,4894,90.5458
